=== Card Comps DB Population ===
Started: Sun Jan 11 06:13:52 PM UTC 2026
Delay between searches: 60s

[2026-01-11 18:13:52] Searching: mike trout
  -> 200 items, 89668 bytes
[2026-01-11 18:14:59] Searching: shohei ohtani
  -> 200 items, 90155 bytes
[2026-01-11 18:16:05] Searching: aaron judge
  -> 200 items, 89688 bytes
[2026-01-11 18:17:11] Searching: mookie betts
  -> 200 items, 90253 bytes
[2026-01-11 18:18:16] Searching: ronald acuna
  -> 200 items, 90830 bytes
[2026-01-11 18:19:22] Searching: juan soto
  -> 200 items, 89658 bytes
[2026-01-11 18:20:31] Searching: trea turner
  -> 200 items, 90329 bytes
[2026-01-11 18:21:38] Searching: freddie freeman
  -> 200 items, 90563 bytes
[2026-01-11 18:22:44] Searching: corey seager
  -> 200 items, 89786 bytes
[2026-01-11 18:23:49] Searching: manny machado
  -> 200 items, 90248 bytes
[2026-01-11 18:24:55] Searching: bryce harper
  -> 200 items, 89675 bytes
[2026-01-11 18:26:03] Searching: pete alonso
  -> 200 items, 89830 bytes
[2026-01-11 18:27:10] Searching: vlad guerrero jr
  -> 200 items, 91621 bytes
[2026-01-11 18:28:16] Searching: julio rodriguez
  -> 200 items, 90650 bytes
[2026-01-11 18:29:23] Searching: bobby witt jr
  -> 200 items, 90434 bytes
[2026-01-11 18:30:30] Searching: gunnar henderson
  -> 200 items, 90619 bytes
[2026-01-11 18:31:36] Searching: corbin carroll
  -> 200 items, 90730 bytes
[2026-01-11 18:32:43] Searching: ken griffey jr
  -> 200 items, 89826 bytes
[2026-01-11 18:33:48] Searching: derek jeter
  -> 200 items, 89754 bytes
[2026-01-11 18:34:54] Searching: mickey mantle
  -> 200 items, 90209 bytes
[2026-01-11 18:35:59] Searching: babe ruth
  -> 200 items, 90013 bytes
[2026-01-11 18:37:05] Searching: willie mays
  -> 200 items, 89376 bytes
[2026-01-11 18:38:11] Searching: hank aaron
  -> 200 items, 89191 bytes
[2026-01-11 18:39:17] Searching: jackie robinson
  -> 200 items, 90057 bytes
[2026-01-11 18:40:26] Searching: ted williams
  -> 200 items, 89839 bytes
[2026-01-11 18:41:32] Searching: roberto clemente
  -> 200 items, 89893 bytes
[2026-01-11 18:42:37] Searching: nolan ryan
  -> 200 items, 88724 bytes
[2026-01-11 18:43:43] Searching: cal ripken jr
  -> 200 items, 89164 bytes
[2026-01-11 18:44:49] Searching: mike piazza
  -> 200 items, 89452 bytes
[2026-01-11 18:45:55] Searching: mariano rivera
  -> 200 items, 89541 bytes
[2026-01-11 18:47:01] Searching: david ortiz
  -> 0 items, 55 bytes
  -> No results, short wait...
[2026-01-11 18:47:36] Searching: ichiro suzuki
  -> 200 items, 89809 bytes
[2026-01-11 18:48:42] Searching: albert pujols
  -> 200 items, 89722 bytes
[2026-01-11 18:49:46] Searching: michael jordan
  -> 200 items, 89431 bytes
[2026-01-11 18:50:51] Searching: lebron james
  -> 200 items, 89860 bytes
[2026-01-11 18:51:56] Searching: kobe bryant
  -> 200 items, 89468 bytes
[2026-01-11 18:53:00] Searching: shaquille oneal
  -> 0 items, 55 bytes
  -> No results, short wait...
[2026-01-11 18:53:35] Searching: stephen curry
  -> 200 items, 90001 bytes
[2026-01-11 18:54:41] Searching: kevin durant
  -> 200 items, 90269 bytes
[2026-01-11 18:55:46] Searching: giannis antetokounmpo
  -> 200 items, 91079 bytes
[2026-01-11 18:56:53] Searching: luka doncic
  -> 200 items, 89773 bytes
[2026-01-11 18:57:58] Searching: jayson tatum
  -> 200 items, 90390 bytes
[2026-01-11 18:59:06] Searching: ja morant
  -> 200 items, 90354 bytes
[2026-01-11 19:00:13] Searching: zion williamson
  -> 200 items, 90372 bytes
[2026-01-11 19:01:18] Searching: anthony edwards
  -> 200 items, 90812 bytes
[2026-01-11 19:02:24] Searching: victor wembanyama
  -> 200 items, 90479 bytes
[2026-01-11 19:03:32] Searching: magic johnson
  -> 200 items, 90032 bytes
[2026-01-11 19:04:37] Searching: larry bird
  -> 200 items, 89346 bytes
[2026-01-11 19:05:44] Searching: kareem abdul jabbar
  -> 200 items, 90041 bytes
[2026-01-11 19:06:52] Searching: tim duncan
  -> 200 items, 89377 bytes
[2026-01-11 19:07:59] Searching: dirk nowitzki
  -> 0 items, 74 bytes
